Contig	Len_ctg	len_gff	coverage
Sc0000000_segment0	2188364	552286	25.237
Sc0000001_segment0	1913587	745891	38.979
Sc0000002_segment0	1804469	616671	34.175
Sc0000003_segment0	1725387	462975	26.833
Sc0000004_segment0	1502538	370702	24.672
Sc0000005_segment0	1404664	525160	37.387
Sc0000006_segment0	1361454	476947	35.032
Sc0000007_segment0	1343376	530774	39.510
Sc0000008_segment0	1294282	761599	58.843
Sc0000009_segment0	641476	189831	29.593
Sc0000009_segment1	643920	168644	26.190
Sc0000010_segment0	1237400	260233	21.031
Sc0000011_segment0	11557	131	1.134
Sc0000011_segment2	1146575	315183	27.489
Sc0000012_segment0	809108	86714	10.717
Sc0000012_segment1	348983	39139	11.215
Sc0000013_segment0	1024454	260686	25.446
Sc0000014_segment0	987362	398649	40.375
Sc0000015_segment0	602037	221843	36.849
Sc0000015_segment1	387179	215172	55.574
Sc0000016_segment0	916864	88056	9.604
Sc0000017_segment0	844118	277945	32.927
Sc0000018_segment0	14517	6330	43.604
Sc0000018_segment1	772058	129099	16.721
Sc0000019_segment0	733403	90980	12.405
Sc0000020_segment0	728446	222526	30.548
Sc0000021_segment0	693659	280954	40.503
Sc0000022_segment0	684927	208559	30.450
Sc0000023_segment0	679081	84109	12.386
Sc0000024_segment0	661811	260984	39.435
Sc0000025_segment0	666803	123475	18.517
Sc0000026_segment0	653250	212894	32.590
Sc0000027_segment0	636333	168901	26.543
Sc0000028_segment0	624692	237495	38.018
Sc0000029_segment0	608214	513233	84.384
Sc0000030_segment0	80020	24619	30.766
Sc0000030_segment1	485709	102837	21.173
Sc0000031_segment0	505255	395311	78.240
Sc0000032_segment0	479678	144766	30.180
Sc0000033_segment0	480185	84209	17.537
Sc0000034_segment0	471952	199493	42.270
Sc0000035_segment0	13232	9042	68.334
Sc0000035_segment1	447664	131275	29.324
Sc0000036_segment0	457904	95614	20.881
Sc0000037_segment0	441919	154926	35.058
Sc0000038_segment0	444690	62115	13.968
Sc0000039_segment0	433610	187893	43.332
Sc0000040_segment0	426851	31371	7.349
Sc0000041_segment0	427474	95797	22.410
Sc0000042_segment0	426579	207225	48.578
Sc0000043_segment0	407219	37411	9.187
Sc0000044_segment0	388569	124993	32.168
Sc0000045_segment0	377091	19471	5.163
Sc0000046_segment0	348530	80117	22.987
Sc0000047_segment0	352754	64710	18.344
Sc0000048_segment0	350500	126295	36.033
Sc0000049_segment0	348251	67117	19.273
Sc0000050_segment0	343827	114079	33.179
Sc0000051_segment0	337682	113495	33.610
Sc0000052_segment0	339732	22081	6.500
Sc0000053_segment0	300446	105144	34.996
Sc0000053_segment1	11026	11008	99.837
Sc0000054_segment0	315004	14049	4.460
Sc0000055_segment1	309415	82863	26.781
Sc0000057_segment0	300897	38439	12.775
Sc0000058_segment0	291157	233611	80.235
Sc0000060_segment0	134743	6654	4.938
Sc0000060_segment1	133524	33867	25.364
Sc0000061_segment0	273032	28392	10.399
Sc0000062_segment0	266926	21058	7.889
Sc0000063_segment0	262495	45184	17.213
Sc0000064_segment0	255478	186600	73.040
Sc0000065_segment0	244534	28384	11.607
Sc0000066_segment0	238906	13278	5.558
Sc0000067_segment0	16265	1888	11.608
Sc0000067_segment1	220377	92803	42.111
Sc0000068_segment0	214766	139123	64.779
Sc0000069_segment0	213411	35659	16.709
Sc0000070_segment0	199407	4923	2.469
Sc0000071_segment0	190476	63619	33.400
Sc0000072_segment0	185710	8487	4.570
Sc0000073_segment0	179875	44433	24.702
Sc0000074_segment0	176641	12666	7.170
Sc0000075_segment0	171691	3281	1.911
Sc0000076_segment0	163804	87752	53.571
Sc0000077_segment0	153202	14482	9.453
Sc0000078_segment0	142017	38652	27.216
Sc0000079_segment0	120981	45564	37.662
Sc0000080_segment0	123481	6717	5.440
Sc0000081_segment0	113852	31842	27.968
Sc0000082_segment0	106354	46924	44.121
Sc0000083_segment0	111258	3758	3.378
Sc0000084_segment0	109691	1432	1.305
Sc0000085_segment0	105482	39428	37.379
Sc0000086_segment0	100318	38543	38.421
Sc0000087_segment0	95378	37095	38.893
Sc0000088_segment0	88601	66286	74.814
