Contig	Len_ctg	len_gff	coverage
contig_1	3031725	2667831	87.997
contig_2	2904073	792189	27.279
contig_3	2737305	797635	29.139
contig_4	2652778	658552	24.825
contig_5	2472504	508550	20.568
contig_6	2446100	863999	35.321
contig_7	2393266	926866	38.728
contig_8	2225745	562884	25.290
contig_9	2137744	441123	20.635
contig_10	2098233	452508	21.566
contig_11	2068476	582128	28.143
contig_12	2007343	651797	32.471
contig_13	1982690	580677	29.287
contig_14	1764744	420057	23.803
contig_15	1738888	614827	35.357
contig_16	1679693	544236	32.401
contig_17	1574492	578437	36.738
contig_18	1535113	428295	27.900
contig_19	1493254	550219	36.847
contig_20	1417465	385626	27.205
contig_21	1407465	328455	23.337
contig_22	1316809	166849	12.671
contig_23	1269725	607108	47.814
contig_24	1181501	335107	28.363
contig_25	503622	92078	18.283
contig_26	452079	46458	10.277
contig_27	350199	67709	19.334
contig_28	136105	44812	32.925
contig_29	109576	50414	46.008
contig_30	81587	1162	1.424
contig_31	71706	57516	80.211
Total	49242005	15806104	32.099
