Contig	Len_ctg	len_gff	coverage
NODE_1_length_1806572_cov_94.6139	1806572	651391	36.057
NODE_2_length_1652252_cov_91.7152	1652252	545244	33.000
NODE_3_length_1466808_cov_89.1546	1466808	376929	25.697
NODE_4_length_1408614_cov_87.6619	1408614	316315	22.456
NODE_5_length_1381321_cov_89.3474	1381321	306468	22.187
NODE_6_length_1305920_cov_104.694	1305920	411182	31.486
NODE_7_length_1185015_cov_91.9694	1185015	372068	31.398
NODE_8_length_1027700_cov_86.0268	1027700	272383	26.504
NODE_9_length_986093_cov_83.4216	986093	136825	13.875
NODE_10_length_962430_cov_96.5332	962430	414983	43.118
NODE_11_length_896412_cov_85.115	896412	169612	18.921
NODE_12_length_849307_cov_84.3712	849307	213298	25.114
NODE_13_length_821745_cov_94.4626	821745	327884	39.901
NODE_14_length_808454_cov_95.0407	808454	272156	33.664
NODE_15_length_789525_cov_88.5282	789525	228151	28.897
NODE_16_length_772694_cov_112.824	772694	285159	36.905
NODE_17_length_768734_cov_88.4192	768734	217305	28.268
NODE_18_length_649330_cov_86.4146	649330	132199	20.359
NODE_19_length_627902_cov_80.9922	627902	76403	12.168
NODE_20_length_605854_cov_95.0328	605854	252811	41.728
NODE_21_length_575401_cov_94.8557	575401	210397	36.565
NODE_22_length_555982_cov_103.229	555982	168078	30.231
NODE_23_length_548310_cov_79.0293	548310	108807	19.844
NODE_24_length_519635_cov_59.0611	519635	198849	38.267
NODE_25_length_510018_cov_89.0879	510018	159738	31.320
NODE_26_length_488372_cov_84.7319	488372	75414	15.442
NODE_27_length_486249_cov_91.309	486249	120093	24.698
NODE_28_length_473487_cov_82.1946	473487	70532	14.896
NODE_29_length_461304_cov_78.9969	461304	39706	8.607
NODE_30_length_459496_cov_94.9912	459496	197954	43.081
NODE_31_length_457871_cov_85.4556	457871	71604	15.638
NODE_32_length_452574_cov_125.769	452574	74407	16.441
NODE_33_length_431664_cov_86.6863	431664	90964	21.073
NODE_34_length_427061_cov_89.2992	427061	129194	30.252
NODE_35_length_415149_cov_85.338	415149	88236	21.254
NODE_36_length_392202_cov_78.9674	392202	42476	10.830
NODE_37_length_379487_cov_57.3568	379487	13634	3.593
NODE_38_length_354543_cov_95.9375	354543	135164	38.123
NODE_39_length_351666_cov_101.528	351666	199177	56.638
NODE_40_length_321006_cov_86.5116	321006	62703	19.533
NODE_41_length_305573_cov_85.3819	305573	53048	17.360
NODE_42_length_291273_cov_77.6093	291273	14256	4.894
NODE_43_length_290337_cov_91.5785	290337	10467	3.605
NODE_44_length_270115_cov_78.8724	270115	14162	5.243
NODE_45_length_267707_cov_80.9945	267707	14610	5.457
NODE_46_length_263211_cov_75.7914	263211	9379	3.563
NODE_47_length_259030_cov_72.4715	259030	42226	16.302
NODE_48_length_256339_cov_85.2385	256339	44162	17.228
NODE_49_length_254477_cov_92.347	254477	92275	36.261
NODE_50_length_253889_cov_45.3817	253889	43496	17.132
NODE_51_length_251990_cov_84.65	251990	41866	16.614
NODE_52_length_251533_cov_57.846	251533	24790	9.856
NODE_53_length_249211_cov_78.9347	249211	7049	2.829
NODE_54_length_245115_cov_83.3718	245115	35895	14.644
NODE_55_length_239471_cov_97.3611	239471	81663	34.101
NODE_56_length_237434_cov_54.4054	237434	13207	5.562
NODE_57_length_234298_cov_84.8892	234298	37146	15.854
NODE_58_length_232401_cov_79.7107	232401	15081	6.489
NODE_59_length_232031_cov_84.7216	232031	47553	20.494
NODE_60_length_231053_cov_78.4343	231053	6187	2.678
NODE_61_length_216292_cov_113.064	216292	158137	73.113
NODE_62_length_211836_cov_107.36	211836	131405	62.031
NODE_63_length_206381_cov_148.173	206381	100935	48.907
NODE_64_length_206344_cov_42.8342	206344	35400	17.156
NODE_65_length_194854_cov_83.1988	194854	29606	15.194
NODE_66_length_191983_cov_78.4299	191983	17251	8.986
NODE_67_length_191491_cov_85.4554	191491	28442	14.853
NODE_68_length_190041_cov_99.4027	190041	100875	53.081
NODE_69_length_188926_cov_98.0948	188926	64369	34.071
NODE_70_length_183832_cov_81.6527	183832	19969	10.863
NODE_71_length_183749_cov_86.1922	183749	39955	21.744
NODE_72_length_178629_cov_78.5653	178629	19322	10.817
NODE_73_length_177032_cov_82.0284	177032	19824	11.198
NODE_74_length_175748_cov_85.509	175748	24335	13.847
NODE_75_length_170103_cov_40.1332	170103	13503	7.938
NODE_76_length_166604_cov_103.39	166604	98612	59.189
NODE_77_length_160429_cov_93.0679	160429	62690	39.076
NODE_78_length_158863_cov_88.6171	158863	34564	21.757
NODE_79_length_150117_cov_93.6199	150117	54050	36.005
NODE_80_length_147794_cov_113.047	147794	48902	33.088
NODE_81_length_147732_cov_78.7389	147732	7205	4.877
NODE_82_length_147631_cov_78.1642	147631	8882	6.016
NODE_83_length_147146_cov_85.0727	147146	29547	20.080
NODE_84_length_146021_cov_85.3318	146021	22314	15.281
NODE_85_length_142489_cov_89.7504	142489	30187	21.185
NODE_86_length_138007_cov_92.963	138007	56524	40.957
NODE_87_length_133277_cov_84.8955	133277	21684	16.270
NODE_88_length_133176_cov_76.7949	133176	4687	3.519
NODE_89_length_131933_cov_81.0981	131933	8462	6.414
NODE_90_length_128471_cov_80.8839	128471	15693	12.215
NODE_91_length_127592_cov_86.958	127592	28383	22.245
NODE_92_length_125911_cov_79.2684	125911	3926	3.118
NODE_93_length_124789_cov_107.37	124789	81018	64.924
NODE_94_length_119179_cov_77.877	119179	12881	10.808
NODE_95_length_113131_cov_81.4439	113131	15445	13.652
NODE_96_length_110736_cov_91.2971	110736	34458	31.117
NODE_97_length_108849_cov_83.4206	108849	15106	13.878
NODE_98_length_106434_cov_98.1661	106434	67896	63.792
NODE_99_length_105202_cov_83.0706	105202	16985	16.145
NODE_100_length_103287_cov_71.0093	103287	4696	4.547
NODE_101_length_102412_cov_75.388	102412	2910	2.841
NODE_102_length_97218_cov_97.5321	97218	46365	47.692
NODE_103_length_97115_cov_82.4492	97115	13416	13.815
NODE_104_length_95779_cov_77.0977	95779	2397	2.503
NODE_105_length_93176_cov_80.3843	93176	10801	11.592
NODE_106_length_87008_cov_38.6494	87008	1341	1.541
NODE_107_length_82873_cov_92.7324	82873	18240	22.010
NODE_108_length_80712_cov_68.8444	80712	10283	12.740
NODE_109_length_80228_cov_99.0319	80228	27406	34.160
NODE_110_length_78211_cov_53.6324	78211	7178	9.178
NODE_111_length_77337_cov_4500.95	77337	950	1.228
NODE_112_length_76363_cov_93.7491	76363	23864	31.251
NODE_113_length_76270_cov_77.4215	76270	4229	5.545
NODE_114_length_76054_cov_87.6141	76054	20628	27.123
NODE_115_length_74717_cov_73.3344	74717	3698	4.949
NODE_116_length_74265_cov_128.197	74265	22779	30.673
NODE_117_length_68432_cov_107.901	68432	35756	52.250
NODE_118_length_65639_cov_86.9993	65639	13306	20.271
NODE_119_length_64917_cov_103.435	64917	34076	52.492
NODE_120_length_64401_cov_97.1726	64401	27495	42.693
NODE_121_length_61334_cov_78.7998	61334	2771	4.518
NODE_122_length_60666_cov_108.891	60666	38946	64.197
NODE_123_length_58564_cov_99.4492	58564	31518	53.818
NODE_124_length_58436_cov_114.371	58436	52399	89.669
NODE_125_length_50218_cov_76.7416	50218	5391	10.735
NODE_126_length_48745_cov_80.5798	48745	5389	11.055
NODE_127_length_48258_cov_84.745	48258	3465	7.180
NODE_128_length_45631_cov_114.337	45631	44506	97.535
NODE_129_length_36703_cov_97.3266	36703	13167	35.874
NODE_130_length_30868_cov_74.5102	30868	1173	3.800
NODE_131_length_27328_cov_43.8956	27328	5599	20.488
NODE_132_length_26033_cov_75.5415	26033	452	1.736
NODE_133_length_25425_cov_76.7604	25425	895	3.520
NODE_134_length_24406_cov_63.6421	24406	7597	31.128
NODE_136_length_12471_cov_72.8968	12471	272	2.181
NODE_137_length_10532_cov_84.8966	10532	1454	13.806
NODE_138_length_10418_cov_71.8259	10418	1157	11.106
NODE_139_length_9764_cov_103.688	9764	6773	69.367
NODE_140_length_8956_cov_67.3726	8956	536	5.985
NODE_141_length_8551_cov_71.8697	8551	906	10.595
NODE_142_length_7537_cov_68.2448	7537	141	1.871
NODE_143_length_7076_cov_307.642	7076	7075	99.986
NODE_144_length_7049_cov_108.001	7049	5906	83.785
NODE_145_length_6652_cov_77.9701	6652	251	3.773
NODE_147_length_5419_cov_3.91686	5419	116	2.141
NODE_148_length_4543_cov_4588.58	4543	304	6.692
NODE_149_length_4490_cov_103.347	4490	2186	48.686
NODE_150_length_4387_cov_1.53568	4387	70	1.596
NODE_154_length_3670_cov_1.57832	3670	300	8.174
NODE_158_length_3466_cov_1.23151	3466	72	2.077
NODE_160_length_3393_cov_5.2575	3393	65	1.916
NODE_163_length_3271_cov_2.29739	3271	95	2.904
NODE_164_length_3267_cov_1.17197	3267	45	1.377
NODE_166_length_3191_cov_1.31364	3191	21	0.658
NODE_175_length_2858_cov_1.25815	2858	39	1.365
NODE_176_length_2818_cov_1.46711	2818	77	2.732
NODE_177_length_2818_cov_0.975102	2818	31	1.100
NODE_184_length_2650_cov_1.51685	2650	67	2.528
NODE_194_length_2504_cov_1.06731	2504	47	1.877
NODE_203_length_2455_cov_1.47509	2455	58	2.363
NODE_204_length_2442_cov_1.73175	2442	60	2.457
NODE_207_length_2403_cov_2.00132	2403	68	2.830
NODE_209_length_2379_cov_1.97691	2379	53	2.228
NODE_218_length_2333_cov_1.0476	2333	88	3.772
NODE_220_length_2318_cov_1.92926	2318	107	4.616
NODE_226_length_2252_cov_123.894	2252	2251	99.956
NODE_228_length_2229_cov_1.90533	2229	28	1.256
NODE_231_length_2216_cov_2.09813	2216	28	1.264
NODE_234_length_2210_cov_1.14978	2210	34	1.538
NODE_244_length_2145_cov_1.8662	2145	64	2.984
NODE_246_length_2136_cov_1.45744	2136	112	5.243
NODE_250_length_2125_cov_1.48999	2125	52	2.447
NODE_261_length_2076_cov_109.73	2076	2075	99.952
NODE_267_length_2056_cov_1.17678	2056	33	1.605
NODE_276_length_2029_cov_1.32177	2029	47	2.316
NODE_279_length_2021_cov_2.70961	2021	121	5.987
NODE_282_length_2010_cov_1.30855	2010	60	2.985
NODE_291_length_1974_cov_2.10125	1974	35	1.773
NODE_293_length_1965_cov_1.72742	1965	51	2.595
NODE_297_length_1960_cov_1.62084	1960	72	3.673
NODE_310_length_1909_cov_1.65544	1909	37	1.938
NODE_331_length_1848_cov_1.21673	1848	29	1.569
NODE_342_length_1815_cov_1.99941	1815	92	5.069
NODE_359_length_1791_cov_1.02103	1791	54	3.015
NODE_363_length_1778_cov_1.61599	1778	46	2.587
NODE_378_length_1725_cov_2.00375	1725	41	2.377
NODE_384_length_1719_cov_1.45917	1719	75	4.363
NODE_394_length_1694_cov_249.948	1694	1690	99.764
NODE_402_length_1686_cov_1.26876	1686	91	5.397
NODE_405_length_1672_cov_0.907443	1672	79	4.725
NODE_410_length_1669_cov_1.393	1669	41	2.457
NODE_414_length_1665_cov_1.53966	1665	48	2.883
NODE_419_length_1655_cov_0.621073	1655	28	1.692
NODE_425_length_1646_cov_1.57077	1646	108	6.561
NODE_434_length_1637_cov_1.69073	1637	36	2.199
NODE_435_length_1632_cov_1.87575	1632	40	2.451
NODE_436_length_1628_cov_1.13258	1628	49	3.010
NODE_438_length_1620_cov_1.43804	1620	89	5.494
NODE_439_length_1619_cov_1.44772	1619	48	2.965
NODE_452_length_1608_cov_1.84875	1608	39	2.425
NODE_454_length_1603_cov_1.68835	1603	37	2.308
NODE_460_length_1584_cov_2.49142	1584	119	7.513
NODE_463_length_1579_cov_0.890496	1579	125	7.916
NODE_472_length_1559_cov_1.27654	1559	82	5.260
NODE_473_length_1557_cov_1.6993	1557	191	12.267
NODE_474_length_1556_cov_1.82225	1556	38	2.442
NODE_485_length_1543_cov_1.59393	1543	38	2.463
NODE_487_length_1542_cov_1.74982	1542	34	2.205
NODE_514_length_1504_cov_1.47567	1504	29	1.928
NODE_517_length_1502_cov_0.997093	1502	35	2.330
NODE_518_length_1502_cov_1.61964	1502	24	1.598
NODE_519_length_1500_cov_1.93159	1500	43	2.867
NODE_523_length_1484_cov_1.08475	1484	144	9.704
NODE_528_length_1474_cov_1.75204	1474	131	8.887
NODE_532_length_1467_cov_2.02537	1467	54	3.681
NODE_543_length_1448_cov_1.77896	1448	42	2.901
NODE_552_length_1437_cov_1.35649	1437	42	2.923
NODE_557_length_1435_cov_12.0222	1435	89	6.202
NODE_561_length_1430_cov_0.941673	1430	39	2.727
NODE_569_length_1423_cov_1.49383	1423	36	2.530
NODE_572_length_1422_cov_1.81158	1422	23	1.617
NODE_587_length_1415_cov_1.55124	1415	43	3.039
NODE_588_length_1415_cov_1.21817	1415	32	2.261
NODE_614_length_1389_cov_1.45166	1389	43	3.096
NODE_619_length_1384_cov_1.02625	1384	72	5.202
NODE_627_length_1374_cov_1.37289	1374	46	3.348
NODE_628_length_1374_cov_1.72494	1374	47	3.421
NODE_633_length_1369_cov_1.1095	1369	39	2.849
NODE_637_length_1361_cov_1.76742	1361	34	2.498
NODE_638_length_1361_cov_1.03566	1361	72	5.290
NODE_644_length_1355_cov_0.921824	1355	36	2.657
NODE_646_length_1355_cov_137.676	1355	1139	84.059
NODE_652_length_1350_cov_1.37776	1350	54	4.000
NODE_671_length_1337_cov_1.45537	1337	49	3.665
NODE_680_length_1331_cov_1.24003	1331	57	4.282
NODE_693_length_1312_cov_1.92068	1312	33	2.515
NODE_702_length_1305_cov_134.038	1305	289	22.146
NODE_707_length_1300_cov_1.70332	1300	42	3.231
NODE_731_length_1275_cov_1.1899	1275	46	3.608
NODE_734_length_1271_cov_1.02622	1271	79	6.216
NODE_752_length_1258_cov_1.01238	1258	40	3.180
NODE_769_length_1241_cov_0.939856	1241	49	3.948
NODE_772_length_1239_cov_0.767986	1239	56	4.520
NODE_801_length_1223_cov_1.42427	1223	39	3.189
NODE_810_length_1216_cov_1.35078	1216	24	1.974
NODE_816_length_1212_cov_1.31336	1212	37	3.053
NODE_828_length_1203_cov_2.48978	1203	71	5.902
NODE_840_length_1193_cov_2.00094	1193	38	3.185
NODE_844_length_1192_cov_1.24789	1192	33	2.768
NODE_858_length_1185_cov_0.928166	1185	50	4.219
NODE_862_length_1180_cov_1.87179	1180	21	1.780
NODE_873_length_1170_cov_0.961649	1170	22	1.880
